open,high,low,close,volume,marketCap,timestamp,crypto_name,date,percentage_change,normalized_marketCap,normalized_volume
1.86096132,2.29469094,1.80081768,1.97147731,376954102,1971477308,2021-01-01 23:59:59.999000+00:00,Theta Network,01-01-2021,5.938650568,0.157487661,0.22703036
0.18138222,0.18424554,0.17202174,0.17534993,1122218004,5455571953,2021-01-01 23:59:59.999000+00:00,Cardano,01-01-2021,-3.325733912,0.435829375,0.675884826
37.37457234,38.9281775,37.04630629,37.90501081,459165743.3,5473732252,2021-01-01 23:59:59.999000+00:00,BNB,01-01-2021,1.419249604,0.437280187,0.276544448
1.19E-10,1.70E-10,1.19E-10,1.68E-10,,,2021-01-01 23:59:59.999000+00:00,Shiba Inu,01-01-2021,40.84896182,,
0.07824546,0.08387457,0.07727287,0.08373839,24364980.19,124248831.2,2021-01-01 23:59:59.999000+00:00,Decentraland,01-01-2021,7.020126152,0.009913961,0.01467444
64.9245179,68.65649236,61.74149449,65.37743131,1660368692,8358909486,2021-01-01 23:59:59.999000+00:00,Litecoin,01-01-2021,0.697599973,0.667774837,1
64.9245179,68.65649236,61.74149449,65.37743131,1660368692,2421861836,2021-01-01 23:59:59.999000+00:00,Monero,01-01-2021,0.697599973,0.193468544,1
24.6590266,27.260885,24.52805808,26.06504341,45807754.75,383022211.9,2021-01-01 23:59:59.999000+00:00,Elrond,01-01-2021,5.701834192,0.030587173,0.027588905
64.9245179,68.65649236,61.74149449,65.37743131,1660368692,12517480965,2021-01-01 23:59:59.999000+00:00,Ethereum,01-01-2021,0.697599973,1,1
5.67761632,5.85780088,5.6287135,5.70434815,556639553.4,663491552.4,2021-01-01 23:59:59.999000+00:00,Ethereum Classic,01-01-2021,0.470828399,0.052993658,0.335250572
64.9245179,68.65649236,61.74149449,65.37743131,43374808.76,580549443.1,2021-01-01 23:59:59.999000+00:00,Maker,01-01-2021,0.697599973,0.046367475,0.026123601
7.77166762,9.26187551,7.6813463,9.21025037,305072780.6,552615022.5,2021-01-01 23:59:59.999000+00:00,OKB,01-01-2021,18.51060571,0.044135815,0.183737975
1.50977505,1.8596563,1.50203819,1.84208404,25722549.34,85785758.38,2021-01-01 23:59:59.999000+00:00,Solana,01-01-2021,22.01049686,0.006841175,0.015492071
4.3712381,5.20656173,4.34542764,5.19183866,354009621.4,1038763320,2021-01-01 23:59:59.999000+00:00,Huobi Token,01-01-2021,18.7727262,0.082973839,0.213211453
0.0585205,0.05965597,0.05818124,0.05958685,39231283.76,1339044331,2021-01-01 23:59:59.999000+00:00,Cronos,01-01-2021,1.82218197,0.106963064,0.023628056
64.9245179,68.65649236,61.74149449,65.37743131,1660368692,6361227989,2021-01-01 23:59:59.999000+00:00,Bitcoin Cash,01-01-2021,0.697599973,0.508181558,1
24.35914845,24.95811311,22.02326427,22.29101,348030663.9,993826959.3,2021-01-01 23:59:59.999000+00:00,Filecoin,01-01-2021,-8.490191906,0.079383907,0.209610471
2.59749402,2.72983148,2.57745651,2.63543894,1660368692,2474974459,2021-01-01 23:59:59.999000+00:00,EOS,01-01-2021,1.460828002,0.197711672,1
0.01763309,0.01877364,0.01745418,0.01781169,9798566.145,85710293.46,2021-01-01 23:59:59.999000+00:00,Polygon,01-01-2021,1.01286842,0.006835146,0.00590144
6.4902967,6.50699792,5.65240126,5.86855577,492387731.7,1221517404,2021-01-01 23:59:59.999000+00:00,Cosmos,01-01-2021,-9.57954557,0.097573926,0.29655325
0.02683065,0.02733228,0.0265773,0.02693957,740550356.4,1930480208,2021-01-01 23:59:59.999000+00:00,TRON,01-01-2021,0.405953639,0.154212434,0.446015611
5.16686113,5.26797261,4.6420704,4.7362491,840105754.3,1273682448,2021-01-01 23:59:59.999000+00:00,Uniswap,01-01-2021,-8.334112707,0.101741352,0.505975425
5.76658446,5.90360344,5.71173782,5.82100255,11885408.91,549193880.7,2021-01-01 23:59:59.999000+00:00,FTX Token,01-01-2021,0.943679753,0.043862503,0.007158295
0.03568413,0.03791824,0.03527667,0.03702326,3923474.687,23020017.17,2021-01-01 23:59:59.999000+00:00,The Sandbox,01-01-2021,3.752732657,0.001826867,0.002363014
1.39340872,1.4928712,1.29790522,1.35732204,37706128.9,267271665.5,2021-01-01 23:59:59.999000+00:00,NEAR Protocol,01-01-2021,-2.589812988,0.021339948,0.022709492
0.02132325,0.02183139,0.02001895,0.02090444,67165239.28,113503346.6,2021-01-01 23:59:59.999000+00:00,Chiliz,01-01-2021,-1.964100219,0.009055512,0.040452003
0.33420665,0.43128567,0.3323871,0.39812911,341885747.4,475506414,2021-01-01 23:59:59.999000+00:00,Algorand,01-01-2021,19.12662719,0.037975666,0.205909536
11.22888622,11.80005621,10.7102859,11.03564648,2339679.483,133230468.6,2021-01-01 23:59:59.999000+00:00,Quant,01-01-2021,-1.72091636,0.010631497,0.001409132
1.00061396,1.00205189,1.00060839,1.00191574,1660368692,12517480965,2021-01-01 23:59:59.999000+00:00,Tether,01-01-2021,0.130098125,1,1
0.01877762,0.0201721,0.01854368,0.01908011,216206840.2,1227148151,2021-01-01 23:59:59.999000+00:00,VeChain,01-01-2021,1.610907027,0.098023762,0.130216163
11.26676153,12.38606689,11.1186527,11.8725549,1376173841,4737262864,2021-01-01 23:59:59.999000+00:00,Chainlink,01-01-2021,5.376818959,0.378444199,0.828836298
64.9245179,68.65649236,61.74149449,65.37743131,202515778.5,1087592822,2021-01-01 23:59:59.999000+00:00,Aave,01-01-2021,0.697599973,0.086874791,0.121970367
0.00468094,0.00568496,0.00461528,0.00568496,228961514.9,726323310.7,2021-01-01 23:59:59.999000+00:00,Dogecoin,01-01-2021,21.44911065,0.05801324,0.137897996
9.28818018,9.41658697,8.12019359,8.30681869,1660368692,7442884318,2021-01-01 23:59:59.999000+00:00,Polkadot,01-01-2021,-10.56570255,0.594594272,1
0.99980687,1.00029035,0.99954167,0.99982324,944050095.2,4029299602,2021-01-01 23:59:59.999000+00:00,USD Coin,01-01-2021,0.001637316,0.321885544,0.568578593
64.9245179,68.65649236,61.74149449,65.37743131,73396341.71,3396051534,2021-01-01 23:59:59.999000+00:00,Wrapped Bitcoin,01-01-2021,0.697599973,0.27129583,0.044204846
0.21984463,0.24926978,0.21728764,0.23744438,1660368692,10780931627,2021-01-01 23:59:59.999000+00:00,XRP,01-01-2021,8.005540094,0.861268373,1
0.12832131,0.13980106,0.12736694,0.13240799,493194344.8,2901669479,2021-01-01 23:59:59.999000+00:00,Stellar,01-01-2021,3.184724345,0.231800018,0.297039054
2.01409171,2.12844692,1.98614488,2.00891933,177515578.6,1517456361,2021-01-01 23:59:59.999000+00:00,Tezos,01-01-2021,-0.256809557,0.121216268,0.10691335
1.16967849,1.41555886,1.15868346,1.29404441,37783516.79,205018157.8,2021-01-01 23:59:59.999000+00:00,THORChain,01-01-2021,10.63248757,0.016366562,0.0227561
0.1996608,0.21076521,0.19823155,0.20512554,134658072.3,306166460.3,2021-01-01 23:59:59.999000+00:00,Basic Attention Token,01-01-2021,2.737011972,0.024447224,0.081101308
1.00377363,1.00582269,1.00324681,1.00448694,278153536.2,1207045952,2021-01-01 23:59:59.999000+00:00,Dai,01-01-2021,0.071062835,0.096417812,0.167525163
1.0004,1.0008,1.0001,1.0001,1019539386,1077268493,2021-01-01 23:59:59.999000+00:00,Binance USD,01-01-2021,-0.029988005,0.086049988,0.614043971
1.35830109,1.35914817,1.35513787,1.35640531,11099706.93,1355725603,2021-01-01 23:59:59.999000+00:00,UNUS SED LEO,01-01-2021,-0.139569939,0.108295718,0.006685086
0.65289622,0.67133138,0.63370039,0.64944285,16190073.77,315256089.6,2021-01-01 23:59:59.999000+00:00,Terra Classic,01-01-2021,-0.528930923,0.025173388,0.009750891
64.9245179,68.65649236,61.74149449,65.37743131,1660368692,12517480965,2021-01-01 23:59:59.999000+00:00,Bitcoin,01-01-2021,0.697599973,1,1
0.01256828,0.01297455,0.01251807,0.01297455,8381604.656,101448234.7,2021-01-01 23:59:59.999000+00:00,Ravencoin,01-01-2021,3.232502777,0.008092438,0.005048038
